,GEOID,FIPS,SERank,EHDRank,MINRank,LWINRank,P_LWINCPCT,P_MINORPCT,index_right,Unnamed: 0,FSID,EPACRKID,PlanID,FacilityName,FacilitySiteStatusTypeID,PlanYearCode,LocationLatitude,LocationLongitude,NAICSCode,CountyCode,StateDistrict,FirstName,LastName,FullName
1334,530330264001.0,53033026400.0,10.0,10.0,10,10,96.0,95.0,343,350,74236527,WAR000009068,1141,Industrial Automation Inc,10,2019,47.51954,-122.31456999999999,33271.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1334,530330264001.0,53033026400.0,10.0,10.0,10,10,96.0,95.0,458,511,90355185,WAH000050575,3280,International Paint LLC,1,2019,47.52061,-122.31213799999999,493110.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1334,530330264001.0,53033026400.0,10.0,10.0,10,10,96.0,95.0,452,505,20517,WAH000052099,3267,Morgans Fine Finishes LLC,1,2019,47.520669,-122.310498,238320.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1352,530530614003.0,53053061400.0,9.0,10.0,10,10,94.0,92.0,160,162,57178667,WAD071834287,286,Saint Joseph Medical Center,1,2019,47.2452,-122.44865,622110.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1364,530719206001.0,53071920600.0,10.0,8.0,4,8,79.0,37.0,493,549,17268,WAH000051684,3360,Walla Walla Foundry,1,2019,46.05788,-118.36093999999999,331529.0,WA071,ERO,Rolfe,Parsloe,Rolfe Parsloe
1364,530719206001.0,53071920600.0,10.0,8.0,4,8,79.0,37.0,149,151,52456433,WAR000006056,261,Walla Walla Foundry,1,2019,46.06207,-118.36012,331529.0,WA071,ERO,Rolfe,Parsloe,Rolfe Parsloe
1381,530719205001.0,53071920500.0,10.0,7.0,10,10,95.0,91.0,148,150,52413469,WAD027572205,260,Smith Chrome Plating,1,2019,46.07458,-118.35108000000001,332813.0,WA071,ERO,Rolfe,Parsloe,Rolfe Parsloe
1398,530110423001.0,53011042300.0,5.0,9.0,5,10,92.0,46.0,9,9,1026,WAD050956671,10,NuStar Terminals Svcs Inc,10,2019,45.633390000000006,-122.6843,493190.0,WA011,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1410,530210207001.0,53021020700.0,7.0,5.0,1,5,46.0,9.0,353,360,52143227,WA0960014496,1498,US ARMY COE Lower Monumental Dam,10,2019,46.61575,-118.55741,221111.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1411,530210207002.0,53021020700.0,7.0,5.0,8,6,54.0,77.0,238,240,96655412,WAD096771142,406,TIDEWATER TERMINAL CO PASCO,1,2019,46.221301000000004,-119.029118,424710.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1411,530210207002.0,53021020700.0,7.0,5.0,8,6,54.0,77.0,349,356,91837615,WA5960015498,1267,US ARMY COE Little Goose Dam,10,2019,46.38796,-118.6761,221111.0,WA013,ERO,Huckleberry,Palmer,Huckleberry Palmer
1411,530210207002.0,53021020700.0,7.0,5.0,8,6,54.0,77.0,350,357,91837615,WA5960015498,1267,US ARMY COE Little Goose Dam,10,2019,46.38796,-118.6761,221111.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1411,530210207002.0,53021020700.0,7.0,5.0,8,6,54.0,77.0,354,361,52261497,WA7960011412,1503,US ARMY COE Ice Harbor Dam,10,2019,46.390499,-118.680054,221111.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1417,530210203002.0,53021020300.0,10.0,10.0,4,4,36.0,36.0,404,414,16718,WAH000042856,2895,RJ Lee Group Ctr for Laboratory Sciences,1,2019,46.25128,-119.11726000000002,562910.0,WA021,ERO,Huckleberry,Palmer,Huckleberry Palmer
1420,530050115012.0,53005011501.0,6.0,9.0,7,9,84.0,61.0,260,264,83861474,WAD042800656,518,SANDVIK SPECIAL METALS,1,2019,46.14389,-119.009445,331491.0,WA005,CRO,Thatcher,Montgomery,Thatcher Montgomery
1421,530050115011.0,53005011501.0,6.0,9.0,6,5,46.0,53.0,119,121,34767672,WAR000010397,192,Tessenderlo Kerley Inc,1,2019,46.1285,-119.01411999999999,325311.0,WA005,CRO,Huckleberry,Palmer,Huckleberry Palmer
1430,530250101001.0,53025010100.0,5.0,5.0,1,3,25.0,3.0,137,139,45586991,WA9142332056,229,US DOI Grand Coulee Dam Project,1,2019,47.79437,-119.01813,221111.0,WA025,ERO,Huckleberry,Palmer,Huckleberry Palmer
1438,530250108001.0,53025010800.0,10.0,7.0,9,10,95.0,89.0,82,84,13356498,WAD017404625,138,General Dynamics OTS,4,2019,47.18208,-119.31267,336415.0,WA025,ERO,Rolfe,Parsloe,Rolfe Parsloe
1438,530250108001.0,53025010800.0,10.0,7.0,9,10,95.0,89.0,210,212,82236692,WAD144414026,357,Moses Lake Industries Inc,1,2019,47.21321,-119.28978000000001,325199.0,WA025,ERO,Huckleberry,Palmer,Huckleberry Palmer
1438,530250108001.0,53025010800.0,10.0,7.0,9,10,95.0,89.0,387,396,7176,WAH000049962,2784,SGL Automotive Carbon Fibers,1,2019,47.218678999999995,-119.294983,325222.0,WA025,ERO,Huckleberry,Palmer,Huckleberry Palmer
1438,530250108001.0,53025010800.0,10.0,7.0,9,10,95.0,89.0,174,176,65698897,WAD988513909,304,Joyson Safety Systems Acquisition LLC,1,2019,47.221815,-119.29818300000001,325920.0,WA025,ERO,Huckleberry,Palmer,Huckleberry Palmer
1444,530110405071.0,53011040507.0,7.0,9.0,3,7,69.0,25.0,190,192,75455855,WAD980976625,330,Allweather Wood LLC,1,2019,45.570784,-122.33683400000001,321114.0,WA011,SWRO,Hugh,O'Neill,Hugh O'Neill
1448,530110413291.0,53011041329.0,3.0,7.0,5,1,6.0,43.0,416,436,23216,WAH000046258,2994,Graphic Packaging International Inc,1,2019,45.614276000000004,-122.49793500000001,322212.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1460,530050102011.0,53005010201.0,2.0,3.0,2,2,14.0,19.0,263,267,92341743,WAD990828402,527,AREVA NP Inc,1,2019,46.348888,-119.300278,325188.0,WA005,NUCLEAR,Thatcher,Montgomery,Thatcher Montgomery
1516,530110413204.0,53011041320.0,7.0,8.0,7,3,29.0,66.0,192,194,27418479,WAH000003145,332,Hewlett Packard Co Vancouver,1,2019,45.620470000000005,-122.50393999999999,334111.0,WA011,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1546,530670118211.0,53067011821.0,6.0,4.0,5,9,82.0,49.0,244,247,98871767,WAD980835409,413,Ch2O Inc,1,2019,46.96213,-122.88286000000001,42469.0,WA067,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1554,530730002004.0,53073000200.0,9.0,6.0,5,8,77.0,45.0,494,550,21772,WAH000054899,3361,Western Chemical Inc dba Syndel USA,1,2019,48.833251000000004,-122.55956599999999,339999.0,WA073,NWRO,Robert,Reuter,Robert Reuter
1556,530730002001.0,53073000200.0,9.0,6.0,3,3,28.0,28.0,455,508,64126,WAH000053939,3271,Inspectorate America Corp,1,2019,48.8186,-122.55936000000001,541380.0,WA073,NWRO,Jenny,Yoo,Jenny Yoo
1556,530730002001.0,53073000200.0,9.0,6.0,3,3,28.0,28.0,397,407,1530,WAH000042148,2864,Cascade DAFO,1,2019,48.82342,-122.55623999999999,339113.0,WA073,NWRO,Amy,Leang,Amy Leang
1557,530730002002.0,53073000200.0,9.0,6.0,1,10,94.0,10.0,233,235,92568276,WAD009286857,393,ERSHIGS INC,1,2019,48.7721,-122.527782,326199.0,WA073,NWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1559,530730010001.0,53073001000.0,7.0,5.0,3,7,65.0,30.0,93,95,21812635,WAD079253134,155,WA WWU Main Campus,1,2019,48.738609999999994,-122.48506,61131.0,WA073,NWRO,Amy,Leang,Amy Leang
1562,530730007002.0,53073000700.0,10.0,7.0,9,10,93.0,82.0,33,33,2866,WAD009249475,40,Brooks Manufacturing Co,1,2019,48.75855,-122.45613,32199.0,WA073,NWRO,Robert,Reuter,Robert Reuter
1577,530539400032.0,53053940003.0,8.0,9.0,9,7,61.0,81.0,270,274,2115306,WAH000024450,546,MILGARD PULTRUSION DIVISION,1,2019,47.2295265197754,-122.33740234375,326199.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1577,530539400032.0,53053940003.0,8.0,9.0,9,7,61.0,81.0,533,594,1149616,WAH000026614,3440,XPO Logistics Freight Inc Fife,1,2019,47.231737,-122.337783,484122.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1659,530079613023.0,53007961302.0,6.0,3.0,2,7,63.0,20.0,236,238,94862329,WAD988470373,399,Cascade Analytical Inc,1,2019,47.42505,-120.32548,54138.0,WA007,CRO,Thatcher,Montgomery,Thatcher Montgomery
1664,530270012003.0,53027001200.0,10.0,7.0,8,10,98.0,76.0,456,509,37327491,WAH000023388,3272,MB Industrial Motors LLC Aberdeen,10,2019,46.968259,-123.84908300000001,423610.0,WA027,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1690,530670122222.0,53067012222.0,5.0,2.0,7,4,32.0,65.0,422,451,14915,WAH000048753,3078,VSPOne Optical Technology Centers Lacey,10,2019,47.07079,-122.75648999999999,339115.0,WA067,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1694,530770016022.0,53077001602.0,7.0,7.0,8,10,91.0,79.0,363,370,42849882,WA4214005395,1926,WA ARMY Natl Guard Mobil Training Equip,1,2019,46.60265,-120.46808,92811.0,WA077,CRO,Leatta,Dahlhoff,Leatta Dahlhoff
1700,530770012021.0,53077001202.0,10.0,10.0,10,10,96.0,93.0,8,8,462,WAD009255647,9,Shields Bag & Printing Co,1,2019,46.58505,-120.50398999999999,326113.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
1707,530530714063.0,53053071406.0,8.0,7.0,9,5,42.0,84.0,36,37,21918,WAH000052850,44,CARLSON PAVING PRODUCTS INC 50TH AVE E,1,2019,47.088299,-122.362094,333120.0,WA053,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1707,530530714063.0,53053071406.0,8.0,7.0,9,5,42.0,84.0,186,188,73812979,WAD988522603,324,Toray Composites America,1,2019,47.08938,-122.3642,31332.0,WA053,SWRO,Ifeanyi,Isigwe,Ifeanyi Isigwe
1715,530330074022.0,53033007402.0,5.0,10.0,8,9,82.0,72.0,329,336,56514528,WAD980833529,857,Seattle Central Community College,1,2019,47.61663,-122.32208999999999,611210.0,WA033,NWRO,Amy,Leang,Amy Leang
1722,530670109101.0,53067010910.0,4.0,6.0,5,2,14.0,48.0,57,58,4168350,WAH000019869,83,Winsor Fireform LLC M,1,2019,47.025056,-122.94488899999999,33995.0,WA067,SWRO,Hugh,O'Neill,Hugh O'Neill
1734,530350909001.0,53035090900.0,2.0,1.0,1,3,26.0,9.0,373,380,12422831,WAD982652208,2343,WDOT EAGLE HARBOR REPAIR FACILITY,1,2019,47.62362,-122.51321999999999,483212.0,WA035,NWRO,Robert,Reuter,Robert Reuter
1747,530330265001.0,53033026500.0,10.0,10.0,10,10,92.0,95.0,16,16,2077,WAD009286881,19,Ace Galvanizing Inc 96TH,1,2019,47.517041,-122.330776,332812.0,WA033,NWRO,Robert,Reuter,Robert Reuter
1750,530330226062.0,53033022606.0,3.0,3.0,9,5,48.0,90.0,53,54,3578967,WAH000019380,74,Aerojet General Corporation,1,2019,47.665944,-122.15700000000001,336415.0,WA033,NWRO,Robert,Reuter,Robert Reuter
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,68,69,7527197,WAH000026812,109,Blue Heron Biotech LLC,1,2019,47.795771,-122.20526799999999,325414.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,157,159,54199499,WAH000013250,277,Epoch Biosciences,1,2019,47.797388,-122.20183300000001,325413.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,49,50,2754388,WAH000027129,67,Cepheid,1,2019,47.798441,-122.209903,325413.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,106,108,28587128,WAD982655466,174,CMC ICOS Biologics Inc,3,2019,47.799339,-122.202997,325412.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,55,56,3856263,WAD988523155,78,ROMAC INDUSTRIES  BOTHELL,1,2019,47.79943,-122.20516,332919.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,468,524,1448661,WAH000034424,3313,AGC Biologics Inc,3,2019,47.803425,-122.199977,325412.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
1756,530610519252.0,53061051925.0,5.0,6.0,9,1,10.0,84.0,393,403,16692622,WAH000013391,2834,SonoSite Inc,1,2019,47.8075,-122.19333300000001,339112.0,WA061,NWRO,Amy,Leang,Amy Leang
1780,530610535071.0,53061053507.0,4.0,3.0,3,2,18.0,25.0,62,63,6026928,WAH000024662,99,ABW Technologies Inc Arlington,1,2019,48.169363,-122.1399,332999.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
1788,530610519222.0,53061051922.0,6.0,5.0,8,1,8.0,71.0,524,585,77786,WAH000056250,3431,Juno Therapeutics Bothell,1,2019,47.8,-122.2131,541714.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
1798,530330256013.0,53033025601.0,8.0,8.0,10,3,22.0,94.0,133,135,41149477,WAD047476882,213,King Cnty DOT Road Services Div,1,2019,47.48621,-122.17493,92119.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
1818,530630132012.0,53063013201.0,3.0,7.0,1,2,13.0,1.0,173,175,65481771,WA0000636787,302,Affordable Custom Cabinets,1,2019,47.70636670056,-117.11786202299999,32199.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1824,530630140011.0,53063014001.0,7.0,3.0,5,10,95.0,49.0,74,76,8886443,WAD061507273,122,WA EWU,1,2019,47.489278999999996,-117.57943999999999,611310.0,WA063,ERO,Thatcher,Montgomery,Thatcher Montgomery
1839,530630117011.0,53063011701.0,7.0,10.0,1,9,87.0,9.0,478,534,23103,WAH000051721,3330,Arctic Lighting & Electric LLC,10,2019,47.678059999999995,-117.27232,238210.0,WA063,ERO,John,Blunt,John Blunt
1839,530630117011.0,53063011701.0,7.0,10.0,1,9,87.0,9.0,425,459,95787674,WAH000018234,3108,Pyrotek Inc,1,2019,47.678916,-117.27636000000001,327999.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1839,530630117011.0,53063011701.0,7.0,10.0,1,9,87.0,9.0,69,70,7578777,WAD988493722,111,Novation Inc,1,2019,47.68076508684,-117.27652692,332813.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1859,530659503002.0,53065950300.0,6.0,5.0,1,9,85.0,3.0,340,347,71355456,WAH000011858,1083,Hewes Marine Co Inc 1445,1,2019,48.548512896126795,-117.903869622107,336612.0,WA065,ERO,Rolfe,Parsloe,Rolfe Parsloe
1908,530199702001.0,53019970200.0,4.0,2.0,2,6,60.0,13.0,289,296,34617616,WAD988471967,604,KINROSS GOLD COMPANY KETTLE RIVER O,1,2019,48.71711,-118.65002,212221.0,WA019,ERO,Rolfe,Parsloe,Rolfe Parsloe
1909,530199702003.0,53019970200.0,4.0,2.0,4,9,87.0,35.0,52,53,3396512,WAH000025508,72,Kinross Gold Co K2 Mine,1,2019,48.6479,-118.7347,212221.0,WA019,ERO,Rolfe,Parsloe,Rolfe Parsloe
1923,530579511002.0,53057951100.0,7.0,1.0,3,8,78.0,26.0,445,498,1115365,WAH000004267,3247,Seattle City Light Diablo Powerhouse,10,2019,48.4257,-121.0824,221111.0,WA057,NWRO,Robert,Reuter,Robert Reuter
1923,530579511002.0,53057951100.0,7.0,1.0,3,8,78.0,26.0,446,499,1115365,WAH000004267,3247,Seattle City Light Diablo Powerhouse,10,2019,48.4257,-121.0824,221111.0,WA073,NWRO,Robert,Reuter,Robert Reuter
1926,530630032003.0,53063003200.0,6.0,10.0,2,9,82.0,15.0,351,358,48641517,WAD153812797,1466,Deaconess Medical Center,1,2019,47.65203610799,-117.423120404,62211.0,WA063,ERO,Huckleberry,Palmer,Huckleberry Palmer
1927,530630032002.0,53063003200.0,6.0,10.0,2,9,87.0,16.0,272,276,4793771,WAD067545798,552,Sacred Heart Medical Center,1,2019,47.648140999999995,-117.413675,62211.0,WA063,ERO,Huckleberry,Palmer,Huckleberry Palmer
1930,530630145001.0,53063014500.0,9.0,10.0,7,9,85.0,70.0,141,143,14770,WAH000037385,238,Oil Analysis Lab Inc,1,2019,47.658190000000005,-117.37941000000001,541380.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1931,530630145003.0,53063014500.0,9.0,10.0,6,9,90.0,53.0,125,127,35999938,WAD102864188,199,Fleet Painting,1,2019,47.66279,-117.36504,81112.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1931,530630145003.0,53063014500.0,9.0,10.0,6,9,90.0,53.0,482,538,54932,WAH000053941,3336,Galaxy Compound Semiconductors Inc,1,2019,47.66901,-117.36764,334413.0,WA063,ERO,Huckleberry,Palmer,Huckleberry Palmer
1932,530630145002.0,53063014500.0,9.0,10.0,4,10,97.0,38.0,481,537,6601,WAH000037470,3335,Evergreen Pharmaceutical LLC,1,2019,47.653392,-117.40548100000001,446110.0,WA063,ERO,Huckleberry,Palmer,Huckleberry Palmer
1938,530630041001.0,53063004100.0,3.0,3.0,3,9,86.0,27.0,161,163,57434321,WAD088721477,287,Pathology Associates Medical Laboratorie,1,2019,47.64591,-117.41355,621511.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
1972,530270004004.0,53027000400.0,5.0,1.0,5,9,81.0,47.0,401,411,29367235,WAD009246687,2889,Vaughan Co Inc,1,2019,46.98449,-123.55063,333111.0,WA027,SWRO,Leatta,Dahlhoff,Leatta Dahlhoff
1986,530770003001.0,53077000300.0,10.0,10.0,9,9,88.0,85.0,162,164,58142273,WAD098553381,288,Multi Manufacturing Inc,1,2019,46.61679,-120.55423,332813.0,WA077,CRO,Huckleberry,Palmer,Huckleberry Palmer
1986,530770003001.0,53077000300.0,10.0,10.0,9,9,88.0,85.0,376,383,16747,WAH000043386,2539,John I Haas Inc Yakima,1,2019,46.618023,-120.533023,311942.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
1986,530770003001.0,53077000300.0,10.0,10.0,9,9,88.0,85.0,318,325,36394399,WAD070398227,744,John I Haas Inc Hop Extraction Support F,10,2019,46.618053,-120.53138700000001,311930.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
1990,530770002001.0,53077000200.0,10.0,10.0,10,10,98.0,94.0,437,482,38259534,WAH000050075,3195,Decco US Post Harvest Yakima,1,2019,46.617498,-120.513246,333249.0,WA077,CRO,Thatcher,Montgomery,Thatcher Montgomery
2030,530479710001.0,53047971000.0,5.0,2.0,0,9,87.0,0.0,420,446,106326,WAH000024512,3045,Wal Mart Distribution Ctr 7021,10,2019,48.277002,-119.915902,493120.0,WA077,CRO,Amy,Leang,Amy Leang
2043,530519701001.0,53051970100.0,4.0,2.0,1,7,69.0,3.0,276,281,15428546,WA0000897645,568,PEND OREILLE MINE,1,2019,48.880908000000005,-117.358875,212231.0,WA051,ERO,Huckleberry,Palmer,Huckleberry Palmer
2045,530630126001.0,53063012600.0,5.0,5.0,5,8,73.0,43.0,388,398,5746858,WAH000034430,2806,TestAmerica,1,2019,47.655778999999995,-117.24469199999999,541380.0,WA063,ERO,Rolfe,Parsloe,Rolfe Parsloe
2099,530730004001.0,53073000400.0,3.0,5.0,1,6,57.0,5.0,506,563,37486,WAH000056040,3391,Northwest Gastroenterology Bellingham,1,2019,48.77237,-122.47341999999999,621111.0,WA073,NWRO,Jenny,Yoo,Jenny Yoo
2099,530730004001.0,53073000400.0,3.0,5.0,1,6,57.0,5.0,391,401,44592261,WAD988488391,2830,Saint Joseph Hospital,1,2019,48.773759999999996,-122.47798,622110.0,WA073,NWRO,Jenny,Yoo,Jenny Yoo
2099,530730004001.0,53073000400.0,3.0,5.0,1,6,57.0,5.0,523,584,38452,WAH000056110,3430,Northwest Laboratory Bellingham,1,2019,48.778009999999995,-122.48401000000001,621511.0,WA073,NWRO,Jenny,Yoo,Jenny Yoo
2099,530730004001.0,53073000400.0,3.0,5.0,1,6,57.0,5.0,486,542,8724176,WAD988523510,3342,Intertek Testing Services Caleb Brett,4,2019,48.77868,-122.47808,541380.0,WA073,NWRO,Jenny,Yoo,Jenny Yoo
2107,530730008034.0,53073000803.0,7.0,4.0,6,8,79.0,52.0,129,131,37897487,WAD988469128,207,Heath Tecna Inc,1,2019,48.773720000000004,-122.44488999999999,336413.0,WA073,NWRO,Robert,Reuter,Robert Reuter
2110,530730105013.0,53073010501.0,6.0,3.0,2,4,31.0,19.0,467,520,11360,WAH000055244,3305,Flowbuilt Manufacturing Facility LLC,1,2019,48.837897999999996,-122.581378,316210.0,WA073,NWRO,Robert,Reuter,Robert Reuter
2110,530730105013.0,53073010501.0,6.0,3.0,2,4,31.0,19.0,75,77,9304198,WAH000027726,125,Hertco Kitchens LLC,1,2019,48.840571000000004,-122.58092099999999,337110.0,WA073,NWRO,Paul,Fabiniak,Paul Fabiniak
2111,530730105011.0,53073010501.0,6.0,3.0,3,5,46.0,25.0,4,4,17,WAD009250366,5,ConocoPhillips Co Ferndale Refinery,1,2019,48.8339,-122.69169,324110.0,WA073,INDUSTRIAL,Angela,Fritz,Angela Fritz
2111,530730105011.0,53073010501.0,6.0,3.0,3,5,46.0,25.0,299,306,16,WAD009488131,620,Intalco Aluminum Corp Ferndale,1,2019,48.84731,-122.71264,331312.0,WA073,INDUSTRIAL,Angela,Fritz,Angela Fritz
2111,530730105011.0,53073010501.0,6.0,3.0,3,5,46.0,25.0,508,565,17763312,WAR000008078,3394,PSE Whitehorn Generating Station,12,2019,48.884609999999995,-122.70698,221122.0,WA073,NWRO,Robert,Reuter,Robert Reuter
2111,530730105011.0,53073010501.0,6.0,3.0,3,5,46.0,25.0,209,211,81671577,WAD019349158,354,CHEMCO INC,1,2019,48.89161,-122.70693,321114.0,WA073,NWRO,Robert,Reuter,Robert Reuter
2111,530730105011.0,53073010501.0,6.0,3.0,3,5,46.0,25.0,297,304,13,WAD069548154,618,BP CHERRY POINT REFINERY,1,2019,48.892109999999995,-122.73323,324110.0,WA073,INDUSTRIAL,Angela,Fritz,Angela Fritz
2115,530730102002.0,53073010200.0,8.0,1.0,5,8,78.0,45.0,313,320,12483476,WAH000026052,718,IKO PACIFIC INC SUMAS,1,2019,48.9928,-122.255,32412.0,WA073,NWRO,Amy,Leang,Amy Leang
2133,530330108001.0,53033010800.0,7.0,9.0,9,6,55.0,86.0,286,292,66464199,WAD982657504,595,Pioneer Industries Seattle,1,2019,47.5376,-122.3473,332812.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2133,530330108001.0,53033010800.0,7.0,9.0,9,6,55.0,86.0,307,314,2132,WAD041580176,664,Lafarge North America Inc Seattle,1,2019,47.55362,-122.34723999999999,32731.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2247,530330322084.0,53033032208.0,2.0,3.0,8,1,9.0,80.0,479,535,8428648,WA0000952333,3332,BMC Select Issaquah Millwork,1,2019,47.5543,-122.04305,444110.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
2249,530330228031.0,53033022803.0,4.0,3.0,10,1,2.0,98.0,347,354,78658983,WAD988469664,1223,Microsoft Corporation,1,2019,47.65163,-122.13278999999999,323116.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2250,530330228033.0,53033022803.0,4.0,3.0,10,7,70.0,91.0,22,22,2182,WAD009249392,26,Honeywell Intl Inc 36th St,1,2019,47.64092,-122.13918000000001,334511.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2251,530330309022.0,53033030902.0,9.0,9.0,1,3,27.0,4.0,513,574,3707981,WAH000028126,3410,Safeway Distribution Facilit,1,2019,47.268,-122.2395,424410.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
2255,530330284024.0,53033028402.0,10.0,10.0,10,10,96.0,99.0,102,104,26357226,WAD980975361,170,Alaska Airlines Seattle Hangar,1,2019,47.43752,-122.31363,481111.0,WA033,NWRO,Amy,Leang,Amy Leang
2255,530330284024.0,53033028402.0,10.0,10.0,10,10,96.0,99.0,47,48,2226486,WAH000023953,62,TSA SEATAC AIRPORT,1,2019,47.4434,-122.2962,488119.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
2255,530330284024.0,53033028402.0,10.0,10.0,10,10,96.0,99.0,241,244,97655128,WAH000017699,410,Delta Airlines,1,2019,47.458861,-122.297083,481111.0,WA033,NWRO,Amy,Leang,Amy Leang
2258,530330281001.0,53033028100.0,10.0,10.0,10,9,88.0,96.0,294,301,2080,WAH000001818,613,Repair Technology Inc,4,2019,47.47038,-122.2954,81131.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2307,530610419011.0,53061041901.0,8.0,5.0,8,1,3.0,73.0,35,36,21363,WAH000035210,43,KORRY ELECTRONICS EVERETT,1,2019,47.89031,-122.2759,334511.0,WA061,NWRO,Amy,Leang,Amy Leang
2307,530610419011.0,53061041901.0,8.0,5.0,8,1,3.0,73.0,400,410,8321,WAH000043430,2885,Vaupell Everett,1,2019,47.895643,-122.273669,326130.0,WA061,NWRO,Paul,Fabiniak,Paul Fabiniak
2307,530610419011.0,53061041901.0,8.0,5.0,8,1,3.0,73.0,107,109,28641499,WAD148339260,175,Sun Quest Air Specialties Inc,1,2019,47.898559999999996,-122.2796,488190.0,WA061,NWRO,Robert,Reuter,Robert Reuter
2307,530610419011.0,53061041901.0,8.0,5.0,8,1,3.0,73.0,502,558,97476,WAH000055091,3376,Quality Anodize and Chemical Film,10,2019,47.90716,-122.27345,339999.0,WA061,NWRO,Robert,Reuter,Robert Reuter
2307,530610419011.0,53061041901.0,8.0,5.0,8,1,3.0,73.0,284,289,23599,WAH000042905,592,ELDORADO STONE LLC EVERETT,1,2019,47.9166666666667,-122.28333333333299,326299.0,WA061,NWRO,Jenny,Yoo,Jenny Yoo
2314,530330252002.0,53033025200.0,7.0,9.0,8,3,28.0,79.0,81,83,13289817,WAD988517934,137,KENWORTH TRUCK CO RENTON,1,2019,47.49139,-122.191391,33612.0,WA033,NWRO,Paul,Fabiniak,Paul Fabiniak
2321,530330272001.0,53033027200.0,10.0,10.0,9,2,19.0,83.0,25,25,2266,WAD988491130,29,Analytical Resources Inc,1,2019,47.48376,-122.27557,54138.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
2321,530330272001.0,53033027200.0,10.0,10.0,9,2,19.0,83.0,139,141,47522274,WAD009251448,236,Farwest Paint Mfg Co,1,2019,47.4848,-122.27682,32551.0,WA033,NWRO,Robert,Reuter,Robert Reuter
2329,530330073001.0,53033007300.0,6.0,9.0,8,5,44.0,75.0,490,546,27319,WAH000054808,3355,Silverback Therapeutics Inc,8,2019,47.62345,-122.33408,541714.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
2329,530330073001.0,53033007300.0,6.0,9.0,8,5,44.0,75.0,447,500,4167,WAH000051032,3257,Novo Nordisk Research Center Seattle,1,2019,47.62376,-122.33428,311111.0,WA033,NWRO,Jenny,Yoo,Jenny Yoo
